#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163529.246;20180524-163530.000;45.0688;7.67718;3.0;278.0;298.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163529.744;20180524-163531.000;45.069;7.67732;3.0;277.1;313.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163530.249;20180524-163531.000;45.06901;7.67732;3.0;277.1;296.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163530.744;20180524-163532.000;45.06901;7.67731;3.0;282.6;317.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163531.248;20180524-163532.000;45.06904;7.67723;3.0;282.6;303.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163531.751;20180524-163533.000;45.06904;7.67722;3.0;281.1;319.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163532.252;20180524-163533.000;45.06905;7.67722;3.0;281.1;287.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163532.771;20180524-163534.000;45.06904;7.67722;3.0;281.2;317.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163533.268;20180524-163534.000;45.06904;7.67723;3.0;281.2;298.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163533.771;20180524-163535.000;45.06901;7.67731;3.0;281.4;314.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163534.272;20180524-163535.000;45.06901;7.67732;3.0;281.4;300.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163534.753;20180524-163536.000;45.069;7.67732;3.0;278.2;325.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163535.255;20180524-163536.000;45.0688;7.67718;3.0;278.2;301.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163535.753;20180524-163537.000;45.06879;7.67717;3.0;279.8;335.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163536.258;20180524-163537.000;45.06879;7.67716;3.0;279.8;307.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163536.756;20180524-163538.000;45.06883;7.67708;3.0;281.6;331.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163537.259;20180524-163538.000;45.06883;7.67707;3.0;281.6;307.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163537.766;20180524-163539.000;45.06884;7.67706;3.0;284.0;331.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163538.257;20180524-163539.000;45.06884;7.67705;3.0;284.0;298.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163538.754;20180524-163540.000;45.06882;7.67704;3.0;283.0;320.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163539.261;20180524-163540.000;45.06851;7.67682;3.0;283.0;301.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163539.761;20180524-163541.000;45.06824;7.67663;3.0;284.0;322.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163540.264;20180524-163541.000;45.06823;7.67665;3.0;284.0;295.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163540.779;20180524-163542.000;45.06819;7.67668;3.0;282.9;344.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163541.281;20180524-163542.000;45.06816;7.67669;3.0;282.9;298.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163541.781;20180524-163543.000;45.06813;7.67669;3.0;282.6;317.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163542.285;20180524-163543.000;45.06811;7.67665;3.0;282.6;314.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163542.760;20180524-163544.000;45.06809;7.67659;3.0;284.0;301.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163543.268;20180524-163544.000;45.06809;7.67654;3.0;284.0;295.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163543.784;20180524-163545.000;45.06809;7.67653;3.0;283.7;314.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163544.284;20180524-163545.000;45.06804;7.67649;3.0;283.7;320.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163544.787;20180524-163546.000;45.06809;7.67635;3.0;283.7;316.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163545.289;20180524-163546.000;45.06812;7.67627;3.0;283.7;289.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163545.785;20180524-163547.000;45.06831;7.67631;3.0;284.7;320.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
